PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Ney, Marlon Gomes; Hoffmann, Rodolfo		A contribuição das atividades agrícolas e não-agrícolas para a desigualdade de renda no Brasil rural				Economia Aplicada																								1980-5330	09	2008	12	3	365	393	10.1590/S1413-80502008000300002				SCIELO:S1413-80502008000300002	gold				
J	Hoffmann, Rodolfo		Inequality in Brazil: the contribution of pensions				Revista Brasileira de Economia																								1806-9134	12	2003	57	4	755	773	10.1590/S0034-71402003000400005				SCIELO:S0034-71402003000400005	gold				
J	Ito, Nobuiuki Costa; Hayashi Junior, Paulo; Gimenez, Fernando Antonio Prado; Fensterseifer, Jaime Evaldo		Valor e vantagem competitiva: buscando definições, relações e repercussões	Value and competitive advantage: searching for definitions, relationships, and repercussions			Revista de Administração Contemporânea													Gimenez, Fernando/O-4829-2014; HAYASHI JUNIOR, PAULO/A-2668-2015	Gimenez, Fernando/0000-0002-5143-9553;										1982-7849	04	2012	16	2	290	307	10.1590/S1415-65552012000200008				SCIELO:S1415-65552012000200008	gold				
J	Licio, Elaine Cristina; Mesquita, Camile Sahb; Curralero, Claudia Regina Baddini		Desafios para a coordenação intergovernamental do Programa Bolsa Família	Challenges for the intergovernmental coordination of the Bolsa Família Program	Retos para la coordinación intergubernamental del Programa Bolsa Família		Revista de Administração de Empresas																								2178-938X	10	2011	51	5	458	470	10.1590/S0034-75902011000500004				SCIELO:S0034-75902011000500004	gold				
J	Leone, Eugenia Troncoso; Maia, Alexandre Gori; Baltar, Paulo Eduardo		Mudanças na composição das famílias e impactos sobre a redução da pobreza no Brasil	Changes in the family structure and impacts on the poverty reduction in Brazil			Economia e Sociedade													Gori Maia, Alexandre/D-6519-2012	Gori Maia, Alexandre/0000-0003-0075-5094										1982-3533	04	2010	19	1	59	77	10.1590/S0104-06182010000100003				SCIELO:S0104-06182010000100003	gold				
J	Farhi, Maryse; Cintra, Marcos Antonio Macedo		A arquitetura do sistema financeiro internacional contemporâneo	The architecture of the current international financial system			Revista de Economia Política																								1809-4538	09	2009	29	3	274	294	10.1590/S0101-31572009000300017				SCIELO:S0101-31572009000300017	gold				
J	Freitas, Maria Cristina Penido de; Cintra, Marcos Antonio Macedo		Inflação e deflação de ativos a partir do mercado imobiliário americano	Asset inflation and deflation triggered by the US housing financial system			Revista de Economia Política																								1809-4538	09	2008	28	3	414	433	10.1590/S0101-31572008000300003				SCIELO:S0101-31572008000300003	gold				
J	Macarini, José Pedro		A política econômica do governo Médici: 1970-1973				Nova Economia																								1980-5381	12	2005	15	3	53	92	10.1590/S0103-63512005000300003				SCIELO:S0103-63512005000300003	gold				
J	Alves, André Cherubini; Barbieux, Denise; Reichert, Fernanda Maciel; Tello-Gamarra, Jorge; Zawislak, Paulo Antônio		INNOVATION AND DYNAMIC CAPABILITIES OF THE FIRM: DEFINING AN ASSESSMENT MODEL	Capacidades dinámicas y de innovación de la firma: En búsqueda de un modelo de evaluación	Capacidades dinâmicas e de inovação da empresa: Definindo um modelo de avaliação		Revista de Administração de Empresas													Krupskyi, Oleksandr P./C-8439-2016	Krupskyi, Oleksandr P./0000-0002-1086-9274										2178-938X	06	2017	57	3	232	244	10.1590/s0034-759020170304				SCIELO:S0034-75902017000300232	gold				
J	HIRATUKA, CÉLIO; SARTI, FERNANDO		Transformações na estrutura produtiva global, desindustrialização e desenvolvimento industrial no Brasil	Transformation in the global productive structure, deindustrialization and industrial development in Brazil			Revista de Economia Política														Hiratuka, Celio/0000-0002-3265-3036										1809-4538	03	2017	37	1	189	207	10.1590/0101-31572016v37n01a10				SCIELO:S0101-31572017000100189	gold				
J	Garcia, Renato; Diegues, Antonio Carlos; Roselino, José Eduardo; Costa, Ariana Ribeiro		Desenvolvimento local e desconcentração industrial: uma análise da dinâmica do sistema local de empresas de eletrônica de Santa Rita do Sapucaí e suas implicações de políticas	Local development and industrial deconcentration: an analysis of the dynamics of the local system of electronic companies of Santa Rita do Sapucaí and the implications of their policies			Nova Economia														Ribeiro Costa, Ariana/0000-0001-5092-4429										1980-5381	04	2015	25	1	105	122	10.1590/0103-6351/1713				SCIELO:S0103-63512015000100105	gold				
J	Reydon, Bastiaan Philip; Plata, Ludwig Einstein Agurto; Sparovek, Gerd; Goldszmidt, Rafael Guilherme Burstein; Telles, Tiago Santos		Determination and forecast of agricultural land prices				Nova Economia													Sparovek, Gerd/C-4402-2012; Telles, Tiago/K-7250-2013	Sparovek, Gerd/0000-0001-8301-8529; Telles, Tiago/0000-0001-5817-3420; Reydon, Bastiaan/0000-0003-1206-4311										1980-5381	08	2014	24	2	389	408	10.1590/0103-6351/1304				SCIELO:S0103-63512014000200389	gold				
J	Quadros, Waldir José de; Maia, Alexandre Gori		Estrutura sócio-ocupacional no Brasil	Socio-occupational structure in Brazil			Revista de Economia Contemporânea													Gori Maia, Alexandre/D-6519-2012	Gori Maia, Alexandre/0000-0003-0075-5094										1980-5527	12	2010	14	3	443	468	10.1590/S1415-98482010000300001				SCIELO:S1415-98482010000300001	gold				
J	Santos, Claudio Hamilton M. dos; Silva, Antonio Carlos Macedo e; Ribeiro, Márcio Bruno		Uma metodologia de estimação da carga tributária líquida brasileira trimestral no período 1995-2009	Estimating quarterly figures for the Brazilian aggregate tax burden net of government transfers in the 1995-2009 years			Revista de Economia Contemporânea																								1980-5527	08	2010	14	2	209	235	10.1590/S1415-98482010000200001				SCIELO:S1415-98482010000200001	gold				
J	TELLES, TIAGO SANTOS; PALLUDETO, ALEX WILHANS ANTONIO; REYDON, BASTIAAN PHILIP		Price movement in the Brazilian land market (1994-2010): an analysis in the light of post-Keynesian theory	Evolução dos preços no mercado brasileiro de terras (1994-2010): uma análise à luz da teoria pós-keynesiana			Revista de Economia Política													Telles, Tiago/K-7250-2013	Telles, Tiago/0000-0001-5817-3420; Palludeto, Alex Wilhans Antonio/0000-0002-1528-7548; Reydon, Bastiaan/0000-0003-1206-4311										1809-4538	03	2016	36	1	109	129	10.1590/0101-31572016v36n01a07				SCIELO:S0101-31572016000100109	gold				
J	Ribeiro, Maria Alice Rosa		Riqueza e endividamento na economia de plantation açucareira e cafeeira: a família Teixeira Vilela-Teixeira Nogueira, Campinas, São Paulo, século XIX				Estudos Econômicos (São Paulo)																								1980-5357	09	2015	45	3	527	565	10.1590/0101-416145353mar				SCIELO:S0101-41612015000300527	gold				
J	Maia, Alexandre Gori; Menezes, Esther		Economic growth, labor and productivity in Brazil and the United States: a comparative analysis				Revista de Economia Política													Gori Maia, Alexandre/D-6519-2012	Gori Maia, Alexandre/0000-0003-0075-5094; Menezes, Esther/0000-0002-1758-6584										1809-4538	06	2014	34	2	212	229	10.1590/S0101-31572014000200003				SCIELO:S0101-31572014000200003	gold				
J	Silva, Conceição de Fátima; Suzigan, Wilson		Padrões setoriais de inovação da indústria de transformação brasileira				Estudos Econômicos (São Paulo)																								1980-5357	06	2014	44	2	277	321	10.1590/S0101-41612014000200003				SCIELO:S0101-41612014000200003	gold				
J	Conti, Bruno Martarello De; Prates, Daniela Magalhães; Plihon, Dominique		A hierarquia monetária e suas implicações para as taxas de câmbio e de juros e a política econômica dos países periféricos	The hierarchy of currencies and its implications for peripheral countries exchange and interest rate dynamics and economic policy			Economia e Sociedade																								1982-3533	05	2014	23	2	341	372	10.1590/S0104-06182014000200003				SCIELO:S0104-06182014000200341	gold				
J	Nishijima, Marislei; Biasoto Jr., Geraldo; Lagroteria, Eleni		A competição no mercado farmacêutico brasileiro após uma década de medicamentos genéricos: uma análise de rivalidade em um mercado regulado	Competition in the Brazilian pharmaceutical market after a decade of generic drugs: an analysis of competition in a regulated market			Economia e Sociedade																								1982-3533	04	2014	23	1	155	186	10.1590/S0104-06182014000100006				SCIELO:S0104-06182014000100006	gold				
J	Abib, Gustavo; Hoppen, Norberto; Hayashi Junior, Paulo		Observação participante em estudos de administração da informação no Brasil	Participant observation in information management studies in Brazil	Observación participante en los estudios de administración de la información en Brasil		Revista de Administração de Empresas													HAYASHI JUNIOR, PAULO/A-2668-2015; Hoppen, Norberto/J-6196-2015; Abib, Gustavo/F-8733-2017	Hoppen, Norberto/0000-0003-1827-8695; Abib, Gustavo/0000-0002-8768-9669										2178-938X	12	2013	53	6	604	616	10.1590/S0034-759020130608				SCIELO:S0034-75902013000600008	gold				
J	Proni, Marcelo Weishaupt		Trabalho decente e vulnerabilidade ocupacional no Brasil	Decent work and occupational vulnerability in Brazil			Economia e Sociedade																								1982-3533	12	2013	22	3	825	854	10.1590/S0104-06182013000300009				SCIELO:S0104-06182013000300009	gold				
J	Andrade, Daniel Caixeta; Romeiro, Ademar Ribeiro; Simões, Marcelo Silva		From an empty to a full world: a nova natureza da escassez e suas implicações	From an empty to a full world: the new nature of scarcity and its implications			Economia e Sociedade																								1982-3533	12	2012	21	3	695	722	10.1590/S0104-06182012000300009				SCIELO:S0104-06182012000300009	gold				
J	Alderete, Verónica; Bacic, Miguel		The impact of inter-firm networks on regional development: the case of Mendoza's wine cluster	L'impact du réseau d'entreprises sur le développement régional: le cas du cluster du vin dans la ville de Mendoza	El impacto de las redes inter-empresariales sobre el desarrollo regional: El caso del cluster vitivinícola de Mendoza		Lecturas de Economía																								0120-2596	06	2012		76	177	213					SCIELO:S0120-25962012000100007	gold				
J	Martins, Rafael D'Almeida		Fair trade practices in the Northwest Brazilian Amazon				BAR - Brazilian Administration Review														Martins, Rafael/0000-0002-2937-6170										1807-7692	12	2011	8	4	412	432	10.1590/S1807-76922011000400005				SCIELO:S1807-76922011000400005	gold				
J	Dequech, David		Instituições e a relação entre economia e sociologia				Estudos Econômicos (São Paulo)																								1980-5357	09	2011	41	3	599	619	10.1590/S0101-41612011000300005				SCIELO:S0101-41612011000300005	gold				
J	Andrade, Rogerio P. de		A construção do conceito de incerteza: uma comparação das contribuições de Knight, Keynes, Shackle e Davidson				Nova Economia																								1980-5381	08	2011	21	2	171	195	10.1590/S0103-63512011000200001				SCIELO:S0103-63512011000200001	gold				
J	Martins, Rafael D'Almeida; Ferreira, Leila da Costa		Uma revisão crítica sobre cidades e mudança climática: vinho velho em garrafa nova ou um novo paradigma de ação para a governança local?	A critical review on cities and climate change: old wine in new bottle or a new paradigm for local governance action?			Revista de Administração Pública														Ferreira, Leila da Costa/0000-0003-4138-9860; Martins, Rafael/0000-0002-2937-6170										0034-7612	06	2011	45	3	611	641	10.1590/S0034-76122011000300004				SCIELO:S0034-76122011000300004	gold				
J	Prates, Daniela Magalhães; Cunha, André Moreira; Lélis, Marcos Tadeu Caputi		O Brasil e a crise financeira global: avaliando os canais de transmissão nas contas externas	Brasil and the global financial crisis: assessing the trasmission channels in the external accounts			Revista de Economia Contemporânea																								1980-5527	04	2011	15	1	62	91	10.1590/S1415-98482011000100003				SCIELO:S1415-98482011000100003	gold				
J	Biancareli, André Martins		A visão convencional sobre a abertura financeira e suas mutações recentes				Estudos Econômicos (São Paulo)																								1980-5357	12	2010	40	4	917	942	10.1590/S0101-41612010000400007				SCIELO:S0101-41612010000400007	gold				
J	Balsadi, Otávio Valentim; Silva, José Francisco Graziano da		A polarização da qualidade do emprego na agricultura brasileira no período 1992-2004	The polarization of the employment quality in Brazilian agriculture: 1992-2004 period			Economia e Sociedade																								1982-3533	12	2008	17	3	493	524	10.1590/S0104-06182008000300006				SCIELO:S0104-06182008000300006	gold				
J	Vaz, Daniela Verzola; Hoffmann, Rodolfo		Remuneração nos serviços no Brasil: o contraste entre funcionários públicos e privados	Earnings in the tertiary sector in Brazil: the contrast between public and private workers			Economia e Sociedade														Vaz, Daniela/0000-0003-4505-6318										1982-3533	08	2007	16	2	199	232	10.1590/S0104-06182007000200004				SCIELO:S0104-06182007000200004	gold				
J	Suzigan, Wilson; Furtado, João; Garcia, Renato; Sampaio, Sérgio E. K.		A indústria de calçados de Nova Serrana (MG)				Nova Economia																								1980-5381	12	2005	15	3	97	116	10.1590/S0103-63512005000300004				SCIELO:S0103-63512005000300004	gold				
J	Marçal, Emerson Fernandes; Pereira, Pedro Luiz Valls; Santos Filho, Otaviano Canuto dos		Paridade do poder de compra: testando dados brasileiros				Revista Brasileira de Economia													Marçal, Emerson/C-7473-2013	Marçal, Emerson/0000-0002-0841-5644; Valls Pereira, Pedro L./0000-0002-3709-9564										1806-9134	03	2003	57	1	159	190	10.1590/S0034-71402003000100006				SCIELO:S0034-71402003000100006	gold				
J	Consoni, Flávia Luciane; Carvalho, Ruy de Quadros		Desenvolvimento de produtos na indústria automobilística brasileira: perspectivas e obstáculos para a capacitação local				Revista de Administração Contemporânea																								1982-7849	04	2002	6	1	39	61	10.1590/S1415-65552002000100004				SCIELO:S1415-65552002000100004	gold				
J	Cano, Wilson		Brasil - construção e desconstrução do desenvolvimento	Brazil: the construction and deconstruction of development			Economia e Sociedade																								1982-3533	08	2017	26	2	265	302	10.1590/1982-3533.2017v26n2art1				SCIELO:S0104-06182017000200265	gold				
J	ROSSI, PEDRO		Política cambial no Brasil: um esquema analítico	Exchange rate policy in Brazil: An analytical framework			Revista de Economia Política																								1809-4538	12	2015	35	4	708	727	10.1590/0101-31572015v35n04a02				SCIELO:S0101-31572015000400708	gold				
J	Ruffoni, Janaina; Suzigan, Wilson		Comportamento de firmas industriais em fluxos de conhecimento: Uma análise para dois aglomerados produtivos				Estudos Econômicos (São Paulo)																								1980-5357	12	2015	45	4	693	724	10.1590/0101-416145461jrw				SCIELO:S0101-41612015000400693	gold				
J	Fischer, Bruno Brandão		On the Contributions of Knowledge-Intensive Business-Services Multinationals to Laggard Innovation Systems				BAR - Brazilian Administration Review														Brandao Fischer, Bruno/0000-0003-3878-9097										1807-7692	06	2015	12	2	150	168	10.1590/1807-7692bar2015140070				SCIELO:S1807-76922015000200150	gold				
J	Brittes, José Luiz Pereira; Salles-Filho, Sergio L. M.; Pfitzner, Mariana Savedra		Avaliação do risco regulatório em pesquisa & desenvolvimento no setor elétrico brasileiro	Regulatory risk assessment of research & development in the Brazilian electrical sector			Revista de Administração Contemporânea																								1982-7849	04	2015	19	2	193	211	10.1590/1982-7849rac20151171				SCIELO:S1415-65552015000200193	gold				
J	Palludeto, Alex Wilhans Antonio; Andrade, Rogerio P. de		O capital monopolista-financeiro e a grande recessão				Estudos Econômicos (São Paulo)														Palludeto, Alex Wilhans Antonio/0000-0002-1528-7548										1980-5357	12	2014	44	4	881	888	10.1590/S0101-41612014000400008				SCIELO:S0101-41612014000400008	gold				
J	Rossi, Pedro		Institucionalidade do mercado de câmbio e a política cambial no Brasil	Institutionality of the foreign exchange market and exchange rate policy in Brazil			Economia e Sociedade																								1982-3533	12	2014	23	3	645	667	10.1590/S0104-06182014000300004				SCIELO:S0104-06182014000300645	gold				
J	Farhi, Maryse		Revelações da crise: moeda fiduciária e as relações Tesouro/Banco Central	Revelations of the crisis: fiat currency and the Treasury-Central Bank relations			Revista de Economia Política																								1809-4538	09	2014	34	3	396	412	10.1590/S0101-31572014000300003				SCIELO:S0101-31572014000300003	gold				
J	Barreto, João Carlos; Nassif, Vânia Maria Jorge		O Empreendedor Líder e a Disseminação da Orientação Empreendedora	Entrepreneurial Leaders and the Dissemination of Entrepreneurial Orientation	El emprendedor líder y la difusión de la orientación emprendedora		Revista Brasileira de Gestão de Negócios																								1983-0807	06	2014	16	51	180	198	10.7819/rbgn.v16i51.1422				SCIELO:S1806-48922014000200180	gold				
J	Segnini, Liliana; Alcadipani, Rafael		Poder e resistências nas organizações: a propósito das contribuições de Fernando C. Prestes Motta				Revista de Administração de Empresas													Alcadipani, Rafael RA/B-1573-2013	Alcadipani, Rafael RA/0000-0001-5132-5380										2178-938X	06	2014	54	3	341	347	10.1590/S0034-759020140309				SCIELO:S0034-75902014000300009	gold				
J	Zambon, Antonio; Anunciação, Pedro		Inteligência competitiva: percepções de valor no setor da bijuteria	Competitive intelligence: perceptions of value in the jewelry sector	Inteligencia Competitiva: las percepciones de valor en el sector de la joyería		Revista Portuguesa e Brasileira de Gestão													Zambon, Antonio/C-2374-2013											1645-4464	06	2014	13	2	41	60					SCIELO:S1645-44642014000200005	gold				
J	Andrade, Rogerio P. de; Palludeto, Alex Wilhans Antonio		Harvey e o enigma da crise econômica recente				Revista de Economia Contemporânea														Palludeto, Alex Wilhans Antonio/0000-0002-1528-7548										1980-5527	12	2013	17	3	570	576	10.1590/S1415-98482013000300008				SCIELO:S1415-98482013000300008	gold				
J	Seabra, Luciana; Dequech, David		Convenções financeiras e a taxa básica de juros no Brasil: uma primeira aproximação				Revista de Economia Política																								1809-4538	12	2013	33	4	599	618	10.1590/S0101-31572013000400003				SCIELO:S0101-31572013000400003	gold				
J	Cano, Wilson		Amazônia: da crise à integração atípica e truncada	Amazônia: from Crisis to an Atypical Truncated Integration			América Latina en la historia económica																								2007-3496	08	2013	20	2	67	95					SCIELO:S1405-22532013000200003	gold				
J	Maia, Alexandre Gori		Estrutura de ocupações e distribuição de rendimentos: uma análise da experiência brasileira nos anos 2000	Occupational structure and income distribution: an analysis of the Brazilian experience in the 2000s			Revista de Economia Contemporânea													Gori Maia, Alexandre/D-6519-2012	Gori Maia, Alexandre/0000-0003-0075-5094										1980-5527	08	2013	17	2	276	301	10.1590/S1415-98482013000200004				SCIELO:S1415-98482013000200004	gold				
J	Prates, Daniela Magalhães; Freitas, Maria Cristina Penido de		Crédito bancário corporativo no Brasil: evolução recente e perspectivas	Corporate banking credit in Brazil			Revista de Economia Política																								1809-4538	06	2013	33	2	322	340	10.1590/S0101-31572013000200008				SCIELO:S0101-31572013000200008	gold				
J	Deos, Simone S. de; Mendonça, Ana Rosa Ribeiro de; Wegner, Rubia C.		Cooperação financeira no Mercosul e o financiamento do investimento				Nova Economia														Deos, Simone/0000-0003-1134-0871										1980-5381	04	2013	23	1	155	184	10.1590/S0103-63512013000100006				SCIELO:S0103-63512013000100006	gold				
J	Carrara, Aniela Fagundes; Correa, André Luiz		O regime de metas de inflação no Brasil: uma análise empírica do IPCA	Inflation targeting in Brazil: an empirical analysis of IPCA			Revista de Economia Contemporânea														Carrara, Aniela/0000-0002-3131-2344; Correa, Andre Luiz/0000-0001-5701-7549										1980-5527	12	2012	16	3	441	462	10.1590/S1415-98482012000300004				SCIELO:S1415-98482012000300004	gold				
J	Maciel, Leandro; Silveira, Rodrigo Lanna Franco da; Luna, Ivette; Ballini, Rosangela		Impacto dos contratos futuros do Ibovespa na volatilidade dos índices de ações no Brasil: uma análise na crise do subprime				Estudos Econômicos (São Paulo)													Maciel, Leandro/B-1046-2015; Luna, Ivette/D-2242-2012; Silveira, Rodrigo Lanna Franco da/B-1874-2019	Maciel, Leandro/0000-0002-1900-7179; Luna, Ivette/0000-0002-5304-5523; Silveira, Rodrigo Lanna Franco da/0000-0002-1208-5713										1980-5357	12	2012	42	4	801	825	10.1590/S0101-41612012000400006				SCIELO:S0101-41612012000400006	gold				
J	Torres Filho, Ernani Teixeira; Costa, Fernando Nogueira da		BNDES e o financiamento do desenvolvimento	BNDES and the development finance			Economia e Sociedade																								1982-3533	12	2012	21	spe	975	1009	10.1590/S0104-06182012000400011				SCIELO:S0104-06182012000400011	gold				
J	Andrade, Rogerio P. de; Prates, Daniela Magalhães		Dinâmica da taxa de câmbio em uma economia monetária periférica: uma abordagem keynesiana	Dynamics of the exchange rate in a peripheral monetary economy: a keynesian approach			Nova Economia																								1980-5381	08	2012	22	2	235	257	10.1590/S0103-63512012000200002				SCIELO:S0103-63512012000200002	gold				
J	Chiarini, Tulio; Vieira, Karina Pereira; Zorzin, Paola La Guardia		Universidades federais mineiras: análise da produção de pesquisa científica e conhecimento no contexto do sistema mineiro de inovação	Federal universities in the state of Minas Gerais: analysis of scientific research production and knowledge within the context of the innovation system in Minas Gerais			Nova Economia														Chiarini, Tulio/0000-0002-3758-8413										1980-5381	08	2012	22	2	307	332	10.1590/S0103-63512012000200004				SCIELO:S0103-63512012000200004	gold				
J	Moreira, Uallace		Teorias do comércio internacional: um debate sobre a relação entre crescimento econômico e inserção externa				Revista de Economia Política																								1809-4538	06	2012	32	2	213	228	10.1590/S0101-31572012000200004				SCIELO:S0101-31572012000200004	gold				
J	Maciel, Leandro dos Santos; Ballini, Rosangela; Silveira, Rodrigo Lanna Franco da		Apreçamento de opções sobre taxa de câmbio R$/US$ negociadas no Brasil: uma comparação entre os modelos Black e redes neurais artificiais	Pricing R$/USD exchange rate options: a comparison between the Black model and the artificial neural networks model	Valoración de opciones sobre tasa de cambio R$/US$ cotizadas en Brasil: una comparación entre los modelos Black y redes neuronales artificiales		Revista de Administração (São Paulo)													Maciel, Leandro/B-1046-2015; Silveira, Rodrigo Lanna Franco da/B-1874-2019	Maciel, Leandro/0000-0002-1900-7179; Silveira, Rodrigo Lanna Franco da/0000-0002-1208-5713										1984-6142	03	2012	47	1	96	111	10.5700/rausp1028				SCIELO:S0080-21072012000100008	gold				
J	Serafim, Milena Pavan; Dagnino, Renato Peixoto		A política científica e tecnológica e as demandas da inclusão social no governo Lula (2003-2006)	Science and technology policy and demands for social inclusion in the Lula administration (2003-2006)			Organizações & Sociedade																								1984-9230	09	2011	18	58	403	427	10.1590/S1984-92302011000300004				SCIELO:S1984-92302011000300004	gold				
J	Fonseca, Sergio Azevedo; Souza, Silvia Batista de; Jabbour, Charbel José Chiappeta		Desafios e oportunidades das incubadoras de empresas para a incorporação de estratégias ambientais	Chalenges and opportunities of business incubators for the adoption of environmental strategies			Organizações & Sociedade													Jabbour, Charbel/F-3505-2010											1984-9230	06	2010	17	53	331	344	10.1590/S1984-92302010000200006				SCIELO:S1984-92302010000200006	gold				
J	Hoffmann, Rodolfo		Desigualdade e polarização entre empregados na agricultura brasileira: 1992-2007				Economia e Sociedade																								1982-3533	08	2009	18	2	417	428	10.1590/S0104-06182009000200008				SCIELO:S0104-06182009000200008	gold				
